"Index"	"Phase"	"Stiffness"	"Depth..nm."	"Load..mN."	"E.GPa"	"H.GPa"	"hc.nm"	"Ac.nm2"	"X"	"Y"
0	2	40301.593361	29.163	0.194344675	220.372934088	7.547403813	25.547	25750	0.00108400000000586	69.5999990000055
1	2	35389.536065	29.099	0.260809726	205.830408207	11.458980538	23.572	22760	0.403935000000004	69.6010559999995
2	2	36013.690162	29.105	0.177515252	197.756157307	6.952056948	25.408	25534	0.803483	69.6018729999996
3	2	39736.701933	29.117	0.219402831	221.095724299	8.822103401	24.976	24870	1.20303699999999	69.6019450000022
4	2	32196.894285	29.16	0.147033818	175.062241947	5.645821053	25.734	26043	1.603374	69.6014900000009
5	2	37235.300692	29.187	0.199632058	205.978538899	7.934459827	25.166	25160	2.00394	69.6010040000037
6	2	36659.726546	29.042	0.197328289	203.796328549	7.920570889	25.005	24913	2.403437	69.6015479999987
7	2	33166.397637	29.022	0.167916673	183.140008544	6.649921838	25.225	25251	2.803049	69.6019700000033
8	2	40124.293934	29.033	0.18606109	219.346250017	7.221942871	25.555	25763	3.202985	69.601502000005
9	2	31122.222716	29.013	0.115229206	166.711450411	4.294425593	26.236	26832	3.603056	69.6019139999989
10	2	31428.055671	29.098	0.124310027	168.868875614	4.66147354	26.132	26668	4.00245200000001	69.6014270000014
11	2	28636.822372	29.134	0.137085584	156.60463552	5.324811378	25.543	25745	4.403999	69.6024500000058
12	2	32332.054858	29.17	0.173816446	179.005731194	6.920078002	25.138	25118	4.803595	69.6019129999986
13	2	33157.739812	29.037	0.150943352	180.892319198	5.834951791	25.623	25869	5.203101	69.6015430000043
14	2	35153.146312	29.006	0.151610338	190.925238703	5.808713604	25.771	26101	5.603492	69.6019139999989
15	2	35352.327893	29.047	0.167631807	193.63636321	6.532013792	25.491	25663	6.00300300000001	69.6019410000008
16	2	33586.120838	29.047	0.170091928	185.320952755	6.726140384	25.249	25288	6.40347800000001	69.6013750000056
17	2	35917.085584	29.078	0.166760183	196.105882417	6.45690343	25.596	25827	6.803042	69.6015650000045
18	2	34996.208085	29.01	0.197545936	195.926994566	8.042064264	24.776	24564	7.203361	69.6010339999993
19	2	30536.417555	29.113	0.167689552	169.811837593	6.735326025	24.994	24897	7.60397400000001	69.6024860000034
20	2	33051.632949	29.013	0.164290332	182.168057761	6.48221583	25.285	25345	8.00273900000001	69.6019880000022
21	2	34211.42845	29.164	0.167894767	187.431417879	6.545342723	25.483	25651	8.402974	69.6018729999996
22	2	34125.146489	29.007	0.16030365	186.95362506	6.249064551	25.484	25652	8.80303000000001	69.601886000004
23	2	32609.442251	29.033	0.203071699	184.940213804	8.483561984	24.362	23937	9.203974	69.6014419999992
24	2	34231.641033	29.069	0.159955165	187.082267514	6.205273755	25.564	25777	9.603945	69.6019139999989
25	2	37638.626493	29.212	0.162028646	203.129753415	6.129488279	25.984	26434	10.00303	69.6014639999994
26	2	31489.859222	29.043	0.173615559	175.580008251	7.010519492	24.908	24765	10.403565	69.6019410000008
27	2	35105.870271	29.135	0.153871813	190.231890372	5.868391732	25.848	26220	10.803383	69.6015479999987
28	2	34383.884706	29.007	0.130779906	184.628192829	4.897563126	26.154	26703	11.203446	69.6015140000018
29	2	36988.093129	29.113	0.156487934	199.877932315	5.935257081	25.94	26366	11.603689	69.6015360000019
30	2	39261.808578	29.141	0.174974624	213.067114345	6.692990073	25.798	26143	12.003454	69.6015259999986
31	2	33078.810984	29.082	0.160232126	181.410501834	6.259325397	25.449	25599	12.403903	69.6014570000043
32	2	36409.631124	29.067	0.15322991	196.923751061	5.821837151	25.911	26320	12.802974	69.6010630000019
33	2	30640.788004	29.115	0.128939117	165.486264431	4.884966664	25.959	26395	13.203054	69.6018810000023
34	2	38855.906277	29.07	0.153288104	208.90681137	5.755094177	26.111	26635	13.603501	69.6019700000033
35	2	37363.203426	29.163	0.143493157	199.863450338	5.33288981	26.283	26907	14.003962	69.6014540000033
36	2	36093.516011	29.111	0.164278382	196.468946307	6.32212	25.697	25985	14.403445	69.6014680000008
37	2	32943.859889	29	0.194878533	185.665674617	8.039538931	24.563	24240	14.803004	69.6013920000041
38	2	36384.133017	29.101	0.153094993	196.584886605	5.804837211	25.945	26374	15.203847	69.6009699999995
